timestamp,linear_accleration_x,linear_accleration_y,linear_accleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1677737047.650435,3.07,9.39,1.09,0.06,-0.09,0.02
1677737047.6737504,3.06,9.36,1.04,0.08,-0.1,0.03
1677737047.7010474,2.91,9.44,1.04,0.08,-0.11,0.03
1677737047.7431762,2.87,9.55,1.13,0.06,-0.12,-0.01
1677737047.7732532,3.15,9.49,1.1,0.06,-0.13,-0.01
1677737047.798659,3.19,9.32,1.14,0.05,-0.13,0.05
1677737047.8538451,2.92,9.22,1.09,0.06,-0.13,0.05
1677737047.905052,2.84,9.41,1.19,0.08,-0.14,0.03
1677737047.9334574,3.1,9.68,1.32,0.07,-0.17,0.05
1677737047.965643,2.78,9.45,1.13,0.01,-0.23,0.1
1677737047.9867582,3.07,9.42,1.04,0.01,-0.21,0.07
1677737048.0101774,2.98,9.54,1.05,0.03,-0.17,0.03
1677737048.0328202,3.21,9.39,1.1,0.02,-0.18,0.08
1677737048.0555687,3.19,9.51,1.19,0.01,-0.18,0.13
1677737048.079339,2.92,9.35,1.09,0.02,-0.19,0.17
1677737048.1004803,2.52,9.12,1.06,0.04,-0.2,0.17
1677737048.1617908,2.64,9.36,0.99,0.04,-0.22,0.11
1677737048.1847775,2.79,9.23,0.97,0.03,-0.18,0.04
1677737048.2100544,2.83,9.55,1.15,0.07,-0.17,0.09
1677737048.236521,2.6,9.4,1.02,0.06,-0.2,0.08
1677737048.262046,2.7,9.35,1.01,0.06,-0.21,0.07
1677737048.285644,2.98,9.57,1.07,0.04,-0.18,0.01
1677737048.3108172,2.79,9.49,1.12,0.04,-0.18,0.03
1677737048.3363907,2.78,9.4,1.01,0.03,-0.26,0.13
1677737048.3629746,2.81,9.44,0.96,0.04,-0.26,0.13
1677737048.3853972,2.79,9.49,1.06,0.06,-0.22,0.07
1677737048.4107828,2.53,9.57,1.08,0.05,-0.21,0.06
1677737048.4648106,2.64,9.39,1.0,0.05,-0.22,0.07
1677737048.4896464,2.54,9.52,0.96,0.06,-0.21,0.06
1677737048.5099986,2.71,9.63,0.99,0.03,-0.17,0.01
1677737048.5345438,2.7,9.48,1.09,0.04,-0.13,-0.0
