timestamp,linear_accleration_x,linear_accleration_y,linear_accleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,label
1677151652.578599,-8.22,5.09,0.74,0.09,-0.1,0.03,1
1677151652.6089623,-8.19,5.17,0.78,0.1,-0.09,0.01,1
1677151652.631094,-8.29,5.25,0.74,0.07,-0.08,0.02,1
1677151652.6528063,-8.34,5.22,0.73,0.07,-0.1,0.02,1
1677151652.673763,-8.16,5.05,0.79,0.08,-0.1,0.02,1
1677151652.6970017,-8.18,5.01,0.71,0.08,-0.1,0.0,1
1677151652.7182045,-8.13,4.95,0.74,0.09,-0.09,0.0,1
1677151652.7417846,-8.09,5.13,0.75,0.1,-0.09,0.01,1
1677151652.7693834,-8.15,5.24,0.85,0.11,-0.08,-0.0,1
1677151652.79319,-8.13,5.22,0.83,0.11,-0.06,-0.01,1
1677151652.8130124,-8.18,5.21,0.79,0.1,-0.06,-0.0,1
1677151652.869525,-8.25,5.35,0.86,0.1,-0.08,0.02,1
1677151652.8991072,-8.12,5.49,0.96,0.09,-0.07,0.01,1
1677151652.9254038,-8.34,5.29,0.9,0.08,-0.09,-0.0,1
1677151652.9569297,-8.2,5.2,0.98,0.06,-0.07,-0.02,1
1677151652.9811974,-8.28,5.1,0.91,0.06,-0.07,-0.02,1
1677151653.0040443,-8.49,5.09,0.96,0.08,-0.1,-0.01,1
1677151653.0297956,-8.41,4.98,0.96,0.09,-0.11,-0.03,1
1677151653.0553048,-8.34,4.95,0.97,0.09,-0.13,-0.04,1
1677151653.07706,-8.3,5.05,1.01,0.1,-0.13,-0.03,1
1677151653.0976317,-8.31,5.13,1.02,0.1,-0.16,-0.01,1
1677151653.1185908,-8.27,5.19,1.09,0.11,-0.18,-0.02,1
1677151653.189359,-8.16,5.27,1.13,0.11,-0.19,-0.04,1
1677151653.215063,-7.88,5.03,1.02,0.12,-0.19,-0.05,1
1677151653.249546,-7.51,5.49,1.1,0.09,-0.04,-0.03,1
1677151653.273332,-8.41,5.15,1.02,0.09,-0.01,-0.08,1
1677151653.3045611,-8.44,5.3,1.11,0.1,-0.12,-0.04,1
1677151653.327794,-7.96,5.31,0.8,0.12,-0.11,-0.04,1
1677151653.356378,-8.3,5.7,1.06,0.08,-0.06,-0.1,1
1677151653.3818412,-8.48,5.97,1.11,0.04,-0.04,-0.03,1
1677151653.4073966,-8.9,5.47,1.08,-0.04,-0.11,0.02,1
1677151653.4834085,-8.58,5.43,1.03,-0.05,-0.17,0.11,1
1677151653.5105977,-8.21,5.08,0.84,-0.07,-0.22,0.16,1
1677151653.5423398,-7.89,5.31,0.86,-0.01,-0.24,0.06,1
1677151653.5705736,-7.76,5.11,0.8,-0.03,-0.24,0.1,1
1677151653.5923276,-7.51,5.43,0.87,0.01,-0.16,0.05,1
1677151653.6253977,-8.05,5.29,0.88,-0.01,-0.09,0.03,1
1677151653.6578538,-8.56,4.98,0.77,0.04,-0.12,0.07,1
1677151653.6809466,-8.37,4.93,0.81,0.07,-0.18,0.09,1
1677151653.707019,-8.23,5.09,0.92,0.1,-0.14,0.01,1
1677151653.7900248,-8.06,5.29,1.08,0.12,-0.17,0.06,1
1677151653.824171,-8.02,5.34,1.05,0.1,-0.18,0.14,1
1677151653.8547893,-7.68,5.04,0.73,0.15,-0.13,0.18,1
1677151653.879619,-8.06,5.15,0.67,0.14,-0.08,0.13,1
1677151653.9030414,-7.82,4.95,0.49,0.16,-0.06,0.07,1
1677151653.9326148,-8.01,5.06,0.75,0.18,0.04,0.02,1
1677151653.954957,-8.46,5.26,1.01,0.23,0.06,0.01,1
1677151653.9801066,-8.98,5.7,1.28,0.15,-0.07,-0.05,1
1677151654.0046177,-8.36,5.21,1.09,0.14,-0.13,-0.05,1
1677151654.030975,-8.2,5.29,1.05,0.15,-0.13,-0.04,1
1677151654.054301,-8.11,5.29,1.03,0.12,-0.09,0.02,1
1677151654.1247044,-8.33,5.33,1.07,0.11,-0.08,0.06,1
1677151654.1592612,-8.31,5.46,1.18,0.08,-0.08,0.03,1
1677151654.1810482,-8.22,4.71,1.01,-0.0,-0.12,-0.0,1
1677151654.2104292,-8.13,4.41,1.05,0.06,-0.13,0.06,1
1677151654.2448368,-8.25,4.4,1.04,0.08,-0.13,0.06,1
1677151654.277219,-8.2,4.6,1.19,0.13,-0.12,0.06,1
1677151654.303771,-8.05,4.69,1.2,0.13,-0.11,0.05,1
1677151654.3263173,-8.39,4.95,1.17,0.14,-0.09,0.05,1
1677151654.3529544,-8.45,5.22,1.36,0.1,-0.15,0.13,1
1677151654.387999,-8.48,5.19,1.4,0.1,-0.15,0.1,1
1677151654.413328,-8.43,5.09,1.3,0.07,-0.14,-0.03,1
1677151654.442222,-8.53,5.21,1.29,0.1,-0.13,0.04,1
1677151654.4837604,-8.74,5.05,1.24,0.08,-0.17,0.03,1
1677151654.5083404,-8.08,4.95,1.13,0.11,-0.21,-0.0,1
1677151654.5397034,-7.76,5.12,1.09,0.1,-0.15,-0.01,1
1677151654.5688324,-8.22,5.32,1.18,0.09,-0.13,0.06,1
1677151654.5944946,-8.18,5.15,1.12,0.1,-0.15,0.04,1
1677151654.6229124,-7.96,5.23,1.32,0.09,-0.12,0.0,1
1677151654.6506398,-8.21,5.14,1.26,0.05,-0.1,0.01,1
1677151654.679211,-8.22,4.85,1.17,0.06,-0.13,0.08,1
1677151654.7059567,-8.26,4.82,1.2,0.07,-0.08,0.08,1
1677151654.7321386,-8.49,4.92,1.21,0.08,-0.05,0.04,1
1677151654.7567725,-8.79,4.87,1.28,0.08,-0.1,0.05,1
1677151654.780667,-8.71,4.89,1.34,0.1,-0.13,0.04,1
1677151654.8068702,-8.55,5.02,1.38,0.09,-0.14,0.02,1
1677151654.8388157,-8.28,4.85,1.28,0.07,-0.13,0.0,1
1677151654.8665907,-8.39,4.87,1.32,0.08,-0.12,0.01,1
1677151654.8911734,-8.22,5.1,1.37,0.06,-0.15,0.05,1
1677151654.9169524,-8.24,4.83,1.37,0.06,-0.14,0.06,1
1677151654.9800007,-8.23,4.85,1.4,0.07,-0.11,0.03,1
1677151655.027346,-8.07,4.68,1.3,0.08,-0.08,0.02,1
1677151655.0568497,-8.49,4.9,1.19,0.09,-0.07,-0.01,1
1677151655.0790684,-10.02,5.72,0.82,-0.06,-0.05,-0.06,1
1677151655.1020262,-11.25,5.82,0.57,-0.2,0.05,-0.33,1
1677151655.1258042,-17.39,7.21,0.53,-0.16,-0.21,-0.52,1
1677151655.1512012,-19.61,12.73,1.64,-0.91,-1.59,-0.14,1
1677151655.1781433,-19.61,12.28,1.59,-1.46,-2.36,0.14,1
1677151655.2032063,-19.61,7.69,0.78,-1.71,-3.32,0.57,1
1677151655.2664237,-19.61,8.81,1.91,-1.56,-4.18,0.53,1
1677151655.2913578,-18.45,10.26,4.68,-2.09,-4.36,0.4,1
1677151655.313334,-4.41,5.15,4.3,-2.47,-4.36,-0.51,1
1677151655.3353355,0.09,3.17,2.21,-2.31,-4.36,-0.1,1
1677151655.360763,1.1,2.54,2.27,-2.29,-4.36,0.04,1
1677151655.394693,3.59,0.52,1.09,-1.94,-4.36,0.26,1
1677151655.4254937,7.29,0.74,-0.82,-1.35,-3.06,0.32,1
1677151655.4563808,5.25,1.26,-1.68,-1.26,-2.19,0.16,1
1677151655.4853768,5.99,-0.41,-2.98,-1.07,-1.59,0.53,1
1677151655.509119,5.59,-0.88,-4.68,-0.83,-0.72,0.86,1
1677151655.5706284,3.11,-1.46,-5.98,-0.54,-0.04,0.95,1
1677151655.6009662,0.47,-0.98,-7.08,-0.19,0.27,0.65,1
1677151655.6272168,-1.13,0.11,-8.7,0.27,0.33,0.19,1
1677151655.6561089,-1.42,-0.13,-9.16,0.34,0.37,0.11,1
1677151655.687542,-2.42,0.34,-9.44,0.47,0.32,0.0,1
1677151655.713574,-2.73,0.79,-9.37,0.52,0.26,-0.06,1
1677151655.7420356,-2.74,1.65,-9.52,0.5,0.17,-0.06,1
1677151655.771016,-2.54,1.74,-9.57,0.47,0.15,-0.02,1
1677151655.793581,-3.1,2.26,-9.24,0.35,0.0,0.12,1
1677151655.8236551,-2.03,1.95,-9.45,0.25,0.11,0.05,1
1677151655.8777308,-2.57,1.94,-9.29,0.26,0.14,0.01,1
1677151655.9033968,-2.69,2.11,-9.0,0.21,0.03,0.07,1
1677151655.930755,-3.07,2.21,-8.85,0.15,0.01,0.06,1
1677151655.967722,-3.13,1.99,-8.84,0.11,-0.05,0.01,1
1677151656.0023258,-2.76,1.7,-8.94,0.11,-0.07,0.01,1
1677151656.0240316,-2.53,1.8,-8.88,0.13,-0.09,-0.02,1
1677151656.0530417,-2.27,1.75,-8.82,0.11,-0.05,0.0,1
1677151656.0782683,-2.58,2.01,-8.69,0.11,-0.02,0.02,1
1677151656.1020365,-3.0,1.96,-8.67,0.05,-0.07,0.05,1
1677151656.1290393,-2.37,1.45,-8.83,0.07,-0.05,0.04,1
1677151656.183372,-1.85,0.96,-8.94,0.14,0.03,0.03,1
1677151656.2134595,-3.2,1.74,-8.61,0.14,0.03,0.03,1
1677151656.2428117,-2.84,2.0,-8.62,0.13,-0.04,0.03,1
1677151656.2762098,-2.78,1.9,-8.69,0.09,-0.02,0.12,1
1677151656.3166611,-3.12,1.58,-8.78,0.12,-0.0,0.12,1
