ax,ay,az,gx,gy,gz
3.3733,-6.7238,-5.2971,-0.3055,-0.7204,-0.2927
2.9163,-6.7753,-5.5525,-0.3471,-0.7002,-0.2653
2.4102,-7.6158,-5.9432,-0.389,-0.7552,-0.2769
2.1488,-7.1145,-5.9599,-0.3157,-0.8047,-0.3147
2.6375,-7.3585,-5.814,-0.3207,-0.8638,-0.3392
2.3115,-6.6197,-5.5717,-0.3446,-0.892,-0.3394
2.1535,-6.5551,-5.595,-0.3441,-0.944,-0.3842
2.7811,-7.1097,-5.7888,-0.3839,-0.9647,-0.3971
3.0066,-7.1647,-5.7039,-0.4026,-0.9438,-0.3821
3.1837,-6.4158,-5.4724,-0.3737,-0.8964,-0.4481
3.1388,-6.801,-5.6662,-0.3633,-0.8509,-0.4828
2.7936,-6.2267,-5.6112,-0.4313,-0.8158,-0.4714
2.8558,-5.8301,-5.6118,-0.4923,-0.8108,-0.4606
2.8618,-6.9135,-6.0664,-0.5601,-0.8198,-0.4588
3.1777,-6.2536,-5.8259,-0.5397,-0.7993,-0.4901
3.4959,-6.082,-5.7948,-0.5545,-0.743,-0.4976
3.2405,-6.2542,-6.0634,-0.6057,-0.6984,-0.4482
3.3033,-6.5551,-6.332,-0.6147,-0.6817,-0.397
3.9212,-6.5127,-6.2925,-0.6081,-0.6341,-0.3956
3.594,-6.5671,-6.4373,-0.5914,-0.5696,-0.3649
3.2812,-5.9599,-6.3757,-0.5657,-0.5153,-0.348
3.3362,-5.7141,-6.4834,-0.5915,-0.4924,-0.3355
3.53,-5.7326,-6.661,-0.6467,-0.4622,-0.2624
3.6622,-6.5695,-7.1641,-0.6735,-0.4005,-0.2193
3.1442,-7.0331,-7.3932,-0.6327,-0.373,-0.1426
3.7615,-6.5216,-7.2927,-0.553,-0.3686,-0.1225
3.0712,-6.0586,-7.215,-0.5067,-0.3193,-0.0687
3.1364,-6.0832,-7.331,-0.4924,-0.3144,-0.0402
3.0532,-6.9165,-7.4758,-0.4828,-0.2872,0.0378
3.1669,-7.1587,-7.6606,-0.3913,-0.2499,0.0638
2.2421,-7.0283,-7.7809,-0.2653,-0.2333,0.0874
2.205,-6.341,-7.5805,-0.1573,-0.2281,0.0748
2.479,-5.339,-7.2491,-0.1439,-0.2343,0.0295
2.0698,-5.4778,-7.3603,-0.214,-0.225,-0.0491
2.921,-5.8223,-7.4207,-0.3334,-0.2156,-0.0199
2.2056,-9.8859,-8.5783,-0.3573,-0.1759,0.0361
2.6321,-5.1033,-7.2269,-0.1145,-0.179,0.0899
2.5107,-5.2283,-6.9882,-0.1058,-0.2133,-0.0332
3.0132,-6.1059,-7.2784,-0.1087,-0.2069,-0.0043
2.7458,-5.5496,-6.9589,-0.1029,-0.191,0.035
3.2698,-6.201,-6.9236,-0.0691,-0.1665,0.0198
